filename,text
img_5811_crop_0.jpg,ospedale
img_5811_crop_1.jpg,autostrada
img_5811_crop_2.jpg,UniAcque
img_5811_crop_3.jpg,SERVIZIO
img_5811_crop_4.jpg,IDRICO
img_5811_crop_5.jpg,INTEGRATO
img_5811_crop_6.jpg,A
img_5811_crop_7.jpg,4
img_329_crop_0.jpg,مطار
img_329_crop_1.jpg,تونس
img_329_crop_2.jpg,قرطاج
img_329_crop_3.jpg,AEROPORT
img_329_crop_4.jpg,DE
img_329_crop_5.jpg,TUNIS
img_329_crop_6.jpg,CARTHAGE
img_2818_crop_0.jpg,茅屋故居
img_2818_crop_1.jpg,北门
img_2818_crop_2.jpg,卫生间
img_2818_crop_3.jpg,155
img_2818_crop_4.jpg,60
img_2818_crop_5.jpg,110
img_2818_crop_6.jpg,NORTH
img_2818_crop_7.jpg,TOILET
img_2818_crop_8.jpg,M
img_2818_crop_9.jpg,THE
img_2818_crop_10.jpg,DU
img_2818_crop_11.jpg,M
img_2818_crop_12.jpg,M
img_2818_crop_13.jpg,GATE
img_2818_crop_14.jpg,THATCHED
img_2818_crop_15.jpg,FU'S
img_2818_crop_16.jpg,FORMER
img_2818_crop_17.jpg,RESIDENCE
img_2818_crop_18.jpg,unknown
img_5805_crop_0.jpg,AREA
img_5805_crop_1.jpg,SKP
img_5805_crop_2.jpg,C
img_5805_crop_3.jpg,VIGIANZA
img_5805_crop_4.jpg,VIDEOSORVEGLIATA
img_5805_crop_5.jpg,La
img_5805_crop_6.jpg,registrazione
img_5805_crop_7.jpg,è
img_5805_crop_8.jpg,effettuata
img_5805_crop_9.jpg,da:
img_5805_crop_10.jpg,SKP
img_5805_crop_11.jpg,VIGILANZA
img_5805_crop_12.jpg,H
img_5805_crop_13.jpg,24
img_5805_crop_14.jpg,Tel.
img_5805_crop_15.jpg,02
img_5805_crop_16.jpg,-
img_5805_crop_17.jpg,531178
img_5805_crop_18.jpg,per
img_5805_crop_19.jpg,fini
img_5805_crop_20.jpg,di:
img_5805_crop_21.jpg,Art.
img_5805_crop_22.jpg,13
img_5805_crop_23.jpg,del
img_5805_crop_24.jpg,Codice
img_5805_crop_25.jpg,in
img_5805_crop_26.jpg,materia
img_5805_crop_27.jpg,di
img_5805_crop_28.jpg,protezione
img_5805_crop_29.jpg,dei
img_5805_crop_30.jpg,dati
img_5805_crop_31.jpg,personali
img_5805_crop_32.jpg,(d.lg.n.196/2003)
img_5805_crop_33.jpg,DIVIETO
img_3284_crop_0.jpg,GTI
img_473_crop_0.jpg,مركز
img_473_crop_1.jpg,التكوين
img_473_crop_2.jpg,المهني
img_473_crop_3.jpg,في
img_473_crop_4.jpg,حرف
img_473_crop_5.jpg,الصناعة
img_473_crop_6.jpg,التقليدية
img_1493_crop_0.jpg,WARNING
img_1493_crop_1.jpg,Kosi
img_1493_crop_2.jpg,BRASTRAPS
img_1493_crop_3.jpg,AND
img_1493_crop_4.jpg,REMOVE
img_1493_crop_5.jpg,DENTURES
img_1493_crop_6.jpg,VERY
img_1493_crop_7.jpg,BUMPY
img_1493_crop_8.jpg,FASTEN
img_1493_crop_9.jpg,ROAD
img_1493_crop_10.jpg,Bay
img_1493_crop_11.jpg,Bush
img_1493_crop_12.jpg,Camp
img_1493_crop_13.jpg,072
img_1493_crop_14.jpg,150
img_1493_crop_15.jpg,6382
img_1493_crop_16.jpg,KOSI
img_1493_crop_17.jpg,KHAYA
img_1493_crop_18.jpg,BUSHCAMP
img_315_crop_0.jpg,بلدية
img_315_crop_1.jpg,البريج
img_2824_crop_0.jpg,中國銀行
img_2824_crop_1.jpg,BANK
img_2824_crop_2.jpg,www.boc.cn
img_2824_crop_3.jpg,中国银行
img_2824_crop_4.jpg,全球服务
img_2824_crop_5.jpg,工商户外广登字11127号
img_2824_crop_6.jpg,ALWAYS
img_2824_crop_7.jpg,OF
img_2824_crop_8.jpg,CHINA
img_2824_crop_9.jpg,WITH
img_2824_crop_10.jpg,YOU
img_5193_crop_0.jpg,幾度
img_301_crop_0.jpg,وزَارة
img_301_crop_1.jpg,التَّربيَة
img_301_crop_2.jpg,والتَّعليم
img_301_crop_3.jpg,MINISTRY
img_301_crop_4.jpg,OF
img_301_crop_5.jpg,EDUCATION
img_2830_crop_0.jpg,花草有生命
img_2830_crop_1.jpg,请勿践踏
img_4299_crop_0.jpg,###
img_4299_crop_1.jpg,###
img_4299_crop_2.jpg,###
img_4299_crop_3.jpg,###
img_4299_crop_4.jpg,###
img_4299_crop_5.jpg,###
img_4299_crop_6.jpg,###
img_4299_crop_7.jpg,###
img_4299_crop_8.jpg,ALL
img_4299_crop_9.jpg,D
img_4299_crop_10.jpg,200°C
img_4299_crop_11.jpg,그릴
img_4299_crop_12.jpg,###
img_4299_crop_13.jpg,###
img_4299_crop_14.jpg,###
img_4299_crop_15.jpg,###
img_4299_crop_16.jpg,###
img_4299_crop_17.jpg,###
img_4299_crop_18.jpg,###
img_4299_crop_19.jpg,###
img_4299_crop_20.jpg,&
img_4299_crop_21.jpg,###
img_4299_crop_22.jpg,###
img_4299_crop_23.jpg,###
img_4299_crop_24.jpg,###
img_4299_crop_25.jpg,바로
img_4299_crop_26.jpg,###
img_4299_crop_27.jpg,구워드립
img_4299_crop_28.jpg,치아바타
img_4299_crop_29.jpg,###
img_4299_crop_30.jpg,###
